field_number,collector,species,locality,altitude,date,notes
BB 2252.02,Brian Francis Bates,eulychnia taltalensis,"East of Taltal, 02 Antofagasta, Chile",315m,14/11/2018,same locality as BJB18-25
BB 2253.02,Brian Francis Bates,eulychnia taltalensis,"Paposo, 02 Antofagasta, Chile",294m,18/11/2018,same locality as ADB2.44
GC 296.02,Graham Charles,eulychnia taltalensis,North of Paposo,NA,NA,NA
GC 298.03,Graham Charles,eulychnia taltalensis,San Ramon Valley,NA,NA,NA
GC 299.02,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA
GC 300.03,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA
GC 301.03,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA
GC 302.02,Graham Charles,eulychnia taltalensis,Guanillos,NA,NA,NA
GC 305.02,Graham Charles,eulychnia taltalensis,Breas,NA,NA,NA
GC 730.03,Graham Charles,eulychnia taltalensis,North of Taltal,NA,NA,NA
GC 733.02,Graham Charles,eulychnia taltalensis,North of Paposo,NA,NA,NA
GC 734.02,Graham Charles,eulychnia taltalensis,Above Paposo,NA,NA,NA
GC 737.05,Graham Charles,eulychnia taltalensis,Botija Valley,NA,NA,NA
JN 1319,Jan Novák,eulychnia taltalensis,"Ruta 1 Paposo to Blanco Encalada, 02 Antofagasta, Chile",48m,NA,NA
JN 1701,Jan Novák,eulychnia taltalensis,"Paposo to Blanco Encalada, 02 Antofagasta, Chile",NA,NA,NA
JN 854,Jan Novák,eulychnia taltalensis,"above Playa Sara, Antofagasta, Chile",49m,Feb-12,NA
JN 856,Jan Novák,eulychnia taltalensis,"Paposo National Reserve, Antofagasta, Chile",600m,Feb-12,NA
JN 862,Jan Novák,eulychnia taltalensis,"Santunario Lidia Escobar Negra, Antofagasta, Chile",411m,Feb-12,NA
KBC 956,"Petr Kupčák
Josef Bis",eulychnia taltalensis,"Right side of road, Route 5 North, Taltal City, Antofagasta, Chile",293m,2008,"Long, brown to black spined form"
KK 1278,Karel Kníže,eulychnia taltalensis,"Taltal, Chile",300-500m,NA,NA
PH 252.6,Paul Hoxey,eulychnia taltalensis,"Quebrada Botija, Antofagasta, Chile",400-480m,10-Feb-01,NA
PH 253.3,Paul Hoxey,eulychnia taltalensis,"Between Caleta Botija and Punta Plata, Antofagasta, Chile",60-250m,11-Feb-01,NA
PH 254.3,Paul Hoxey,eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile",10m,11-Feb-01,NA
PH 255.2,Paul Hoxey,eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile",40m,11-Feb-01,NA
PH 256.2,Paul Hoxey,eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile",530-720m,11-Feb-01,NA
PH 258.3,Paul Hoxey,eulychnia taltalensis,"South side of Quebrada de San Ramón, Antofagasta, Chile",300-720m,12-Feb-01,NA
PH 259.3,Paul Hoxey,eulychnia taltalensis,"Estación Breas, Antofagasta, Chile",660-880m,13-Feb-01,NA
PH 260.3,Paul Hoxey,eulychnia taltalensis,"South of Taltal along coast, Antofagasta, Chile",70-160m,13-Feb-01,NA
PH 442.6,Paul Hoxey,eulychnia taltalensis,"Quebrada Botija, Antofagasta, Chile",110-650m,21-Nov-02,Same locality as PH252
PH 443.3,Paul Hoxey,eulychnia taltalensis,"Quebrada Iscuña, Antofagasta, Chile",80-400m,22-Nov-02,NA
PH 445.3,Paul Hoxey,eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile",70m,22-Nov-02,Same locality as PH255
PH 446.4,Paul Hoxey,eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile",630-730m,22-Nov-02,Same locality as PH256
PH 447.3,Paul Hoxey,eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile",780m,23-Nov-02,NA
PH 448.3,Paul Hoxey,eulychnia taltalensis,"Coast North of Taltal, Antofagasta, Chile",30m,23-Nov-02,NA
PH 449.8,Paul Hoxey,eulychnia taltalensis,"Quebrada de San Ramón, Antofagasta, Chile",260-920m,23-Nov-02,Same locality as PH258
PH 656.5,Paul Hoxey,eulychnia taltalensis,"Punta Tragagente, quebrada North of Botija, Antofagasta, Chile",440m,22-Nov-06,NA
PH 658.5,Paul Hoxey,eulychnia taltalensis,"Quebrada Iscuña, Antofagasta, Chile",410-970m,23-Nov-06,NA
PH 659.3,Paul Hoxey,eulychnia taltalensis,"North of Caleta Olivia, North of Taltal, Antofagasta, Chile",270m,24-Nov-06,NA
PH 660.5,Paul Hoxey,eulychnia taltalensis,"Coastal hills North of Paposo, Antofagasta, Chile",1220m,24-Nov-06,NA
PH 662.3,Paul Hoxey,eulychnia taltalensis,"Quebrada Bandurrias, South of Paposo, Antofagasta, Chile",770-860m,25-Nov-06,NA
PH 663.4,Paul Hoxey,eulychnia taltalensis,"Quebrada Agua de Cascabeles, Antofagasta, Chile",560-780m,26-Nov-06,NA
PH 664.3,Paul Hoxey,eulychnia taltalensis,"Quebrada Taltal, inland from Taltal, Antofagasta, Chile",560m,26-Nov-06,NA
PH 665.4,Paul Hoxey,eulychnia taltalensis,"Quebrada de San Ramón, Antofagasta, Chile",30-580m,27-Nov-06,NA
RAP 321,Raimondo Paladini,eulychnia taltalensis,"Taltal, Monte Perales, II Region de Antofagasta, Chile",500 m,Jan / Feb 2014,NA
RD 53,Rodrigo Dacal Barlow,eulychnia taltalensis,"North of Taltal, II, Chile",10-100m,15/02/2011,NA
